,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_code,admin_division_population,gazeteer_distance,longitude,latitude,fatality_count_predictions
2433,10.0,mudslide,tropical_cyclone,2,unknown,VN,0.0,30.47331,108.0191,14.8733,0.0
2435,5.0,mudslide,rain,2,unknown,US,8656.0,0.74727,-118.4948,35.1368,0.0
2437,5.0,complex,rain,2,unknown,MY,1453975.0,10.20022,101.7673,3.185,0.0
2443,5.0,landslide,tropical_cyclone,2,unknown,FJ,27949.0,2.58733,179.366,-16.433,0.0
2446,10.0,landslide,rain,2,unknown,PH,30408.0,0.41778,121.3088,14.4882,0.0
2450,25.0,landslide,rain,2,unknown,IN,173503.0,0.79982,77.16,31.1,0.0
2457,5.0,landslide,downpour,2,unknown,GB,1296.0,13.6015,-4.7485,56.1956,0.0
2473,1.0,landslide,downpour,2,unknown,JP,38113.0,14.83236,130.2964,32.6635,0.0
2474,12.674393057233878,debris_flow,downpour,3,unknown,CN,0.0,72.0353,101.0144,30.0315,0.0
2476,12.674393057233878,rock_fall,rain,2,unknown,VN,19054.0,12.31374,103.9847,21.2331,0.0
2485,50.0,landslide,rain,2,unknown,PH,25687.0,1.03422,123.3667,13.4,0.0
2492,10.0,landslide,rain,2,unknown,PH,3549.0,2.46756,125.1251,10.1831,0.0
2495,25.0,landslide,downpour,2,unknown,ID,164952.0,9.63287,107.5614,-7.1283,0.0
2497,25.0,landslide,rain,2,unknown,IN,19672.0,19.00178,94.9275,26.8727,0.0
2505,1.0,landslide,downpour,1,unknown,MY,1453975.0,10.42243,101.7686,3.1868,0.0
2516,5.0,landslide,rain,2,unknown,GB,2033.0,7.35982,-4.1122,56.3907,0.0
2539,5.0,landslide,downpour,2,unknown,EC,15276.0,0.47714,-78.951,-4.065,0.0
2541,10.0,landslide,downpour,2,unknown,PH,798634.0,3.42478,123.8852,10.3472,0.0
2549,5.0,landslide,rain,2,unknown,TT,0.0,7.87263,-60.6372,11.2027,0.0
2554,25.0,landslide,downpour,2,unknown,IN,47571.0,1.21856,80.2214,29.58,0.0
2558,10.0,landslide,rain,3,unknown,ID,1699719.0,1.47078,107.6169,-6.8907,0.0
2590,5.0,landslide,rain,2,unknown,LK,111701.0,19.2089,80.6201,7.4685,0.0
2592,25.0,landslide,rain,2,above_road,TH,44563.0,4.63963,98.31365118,16.58074281,0.0
2604,25.0,mudslide,rain,2,unknown,US,35836.0,1.76375,-122.3005,47.8085,0.0
2608,5.0,mudslide,downpour,2,unknown,TR,55548.0,0.59839,28.9759,41.0124,0.0
2623,5.0,mudslide,tropical_cyclone,2,unknown,MX,48518.0,0.05648,-109.6972,23.0587,0.0
2632,25.0,complex,downpour,2,unknown,BN,64409.0,4.76016,114.9881,4.9558,0.0
2647,5.0,landslide,rain,2,unknown,IN,11900.0,0.39817,74.0478,14.9935,0.0
2648,25.0,landslide,rain,2,unknown,US,20254.0,0.34029,-122.3046,47.9476,0.0
2651,10.0,landslide,downpour,2,unknown,CA,14708.0,4.47546,-130.254,54.3242,0.0
2655,1.0,landslide,downpour,2,above_road,IN,20244.0,8.59507,92.74128531,23.75406693,0.0
2656,25.0,landslide,downpour,2,unknown,PK,37787.0,20.34474,68.4119,30.4581,0.0
2671,50.0,landslide,rain,3,unknown,MY,19294.0,8.99304,116.5956,5.9975,0.0
2686,1.0,landslide,rain,2,unknown,MY,1453975.0,10.12476,101.711,3.2294,0.0
2689,5.0,landslide,downpour,2,unknown,NP,91733.0,3.20403,83.4724,27.72,0.0
2693,25.0,landslide,tropical_cyclone,2,unknown,PH,15886.0,3.41077,120.7783,16.8937,0.0
2697,5.0,landslide,rain,2,unknown,US,9477.0,0.77674,-123.8215,46.1896,0.0
2700,5.0,landslide,rain,2,unknown,TR,8843.0,0.28892,43.6143,37.2506,0.0
2707,5.0,landslide,downpour,2,unknown,IN,3596.0,8.50592,88.3603,27.0377,0.0
2712,5.0,landslide,construction,2,unknown,PH,133148.0,3.12994,123.8317,10.2669,0.0
2730,5.0,landslide,rain,2,unknown,MY,673318.0,5.4937,101.0334,4.585,0.0
2731,5.0,landslide,downpour,3,unknown,CN,109400.0,1.61808,103.71,27.33,0.0
2741,25.0,landslide,downpour,2,unknown,PH,5344.0,0.48752,124.8763,6.4564,0.0
2747,5.0,mudslide,flooding,1,unknown,GB,0.0,2.34783,-2.68,51.84,0.0
2754,5.0,landslide,rain,2,unknown,US,1312.0,12.05723,-123.9171,45.7204,0.0
2761,5.0,landslide,downpour,2,unknown,UG,0.0,8.56451,34.2544,1.0171,0.0
2770,5.0,landslide,rain,2,unknown,ID,276414.0,3.21379,106.9516,-6.9031,0.0
2775,10.0,landslide,rain,2,unknown,JP,26163.0,8.39817,130.5773,32.6457,0.0
2784,5.0,landslide,unknown,2,unknown,NP,9073.0,24.55257,82.0446,29.4596,0.0
2786,5.0,landslide,downpour,2,unknown,US,466.0,5.06464,-93.1774,35.9631,0.0
2795,50.0,landslide,rain,2,unknown,NP,23693.0,6.85143,83.529,27.9271,0.0
2802,5.0,landslide,downpour,2,above_road,IN,92113.0,11.44167,94.11603493,25.61560252,0.0
2807,5.0,debris_flow,downpour,2,unknown,NZ,50900.0,0.97954,174.3227,-35.7229,0.0
2817,5.0,mudslide,rain,1,unknown,US,371657.0,3.11883,-157.829,21.3131,0.0
2821,12.674393057233878,landslide,rain,2,unknown,ID,433866.0,0.33411,116.831,-1.2654,0.0
2822,12.674393057233878,landslide,monsoon,2,unknown,PK,0.0,24.56054,73.3361,35.5099,0.0
2823,10.0,mudslide,downpour,2,unknown,US,2301.0,1.12077,-85.521,34.8695,0.0
2829,25.0,lahar,rain,2,unknown,PH,24407.0,1.65874,123.0333,10.3333,0.0
2839,5.0,landslide,downpour,2,above_road,NP,107157.0,28.90701,84.67982275,27.81229512,0.0
2840,10.0,mudslide,downpour,2,unknown,TJ,37995.0,2.66467,68.214,38.533,0.0
2846,10.0,landslide,downpour,2,unknown,IN,29602.0,17.10449,75.9957,11.4816,0.0
2849,25.0,landslide,downpour,3,unknown,TJ,11705.0,11.69077,70.44,40.75,0.0
2851,5.0,landslide,rain,1,unknown,US,9520.0,64.74594,-109.8662,44.4659,0.0
2853,5.0,landslide,rain,2,unknown,ID,276414.0,5.66272,106.8762,-6.9092,0.0
2879,50.0,landslide,rain,2,unknown,CN,0.0,28.46491,106.7588,34.3752,0.0
2880,5.0,landslide,tropical_cyclone,2,unknown,US,20313.0,0.14473,-79.8666,40.3647,0.0
2892,5.0,mudslide,unknown,1,unknown,CA,2324.0,56.82665,-121.58,50.23,0.0
2904,25.0,landslide,rain,2,unknown,VN,152200.0,12.54307,106.7361,10.7069,0.0
2908,50.0,landslide,downpour,2,unknown,IN,59841.0,1.31739,94.1167,27.2333,0.0
2916,50.0,landslide,downpour,2,unknown,EC,117796.0,0.35649,-79.205,-3.99,0.0
2919,50.0,landslide,rain,2,unknown,IN,25000.0,10.56357,92.6921,24.1293,0.0
2933,5.0,landslide,rain,2,unknown,GB,60000.0,1.00788,-0.1595,51.4942,0.0
2934,25.0,landslide,rain,2,below_road,IN,223523.0,0.44836,94.0144205,25.03561729,0.0
2935,5.0,landslide,rain,1,unknown,US,4407.0,2.26622,-84.5657,39.1072,0.0
2939,50.0,landslide,downpour,2,unknown,IN,7317.0,8.76802,75.1793,33.3018,0.0
2942,10.0,landslide,monsoon,2,unknown,LK,47587.0,1.0282,81.0473,6.9935,0.0
2945,25.0,landslide,rain,2,unknown,PH,2829.0,2.11756,126.3173,6.9898,0.0
2956,5.0,landslide,downpour,2,unknown,IN,92113.0,33.20312,94.1884,25.3833,0.0
2964,5.0,landslide,rain,1,unknown,US,13177.0,7.03233,-158.121,21.462,0.0
2983,5.0,landslide,rain,2,unknown,IN,2000.0,12.96409,79.3158,30.3642,0.0
2994,25.0,landslide,unknown,2,unknown,IN,33748.0,22.32574,94.7031,26.0977,0.0
3003,5.0,landslide,rain,3,unknown,ID,207212.0,7.64469,106.7087,-6.6234,0.0
3015,25.0,debris_flow,downpour,2,unknown,US,13753.0,15.17455,-105.19,35.46,0.0
3036,12.674393057233878,landslide,rain,2,above_river,US,1465.0,0.67264,-121.895,45.6993,0.0
3045,25.0,landslide,downpour,2,unknown,ID,0.0,131.60974,116.3816,1.3542,0.0
3051,5.0,mudslide,rain,1,unknown,US,27592.0,1.7294,-91.6396,44.0344,0.0
3073,10.0,landslide,tropical_cyclone,2,unknown,PH,7491.0,2.98965,120.66,16.39,0.0
3087,5.0,landslide,downpour,2,unknown,GB,51559.0,2.42905,-0.154356568,51.28876789,0.0
3109,25.0,landslide,downpour,3,unknown,CN,0.0,14.68259,103.49,31.07,0.0
3110,50.0,mudslide,rain,1,unknown,CA,1706.0,8.22364,-117.8532,50.3162,0.0
3137,10.0,landslide,rain,2,unknown,DO,146000.0,1.19636,-70.6871,19.7827,0.0
3141,5.0,landslide,rain,2,unknown,GB,610268.0,0.06972,-4.2571,55.8657,0.0
3160,10.0,landslide,downpour,2,unknown,IN,24648.0,7.35169,75.8289,11.4477,0.0
3174,5.0,mudslide,rain,2,unknown,US,67862.0,1.40658,-91.5322,41.6737,0.0
3175,5.0,mudslide,downpour,2,unknown,CN,0.0,30.55804,103.8764,31.3161,0.0
3181,10.0,complex,downpour,2,unknown,MY,69302.0,6.82239,101.746,3.0949,0.0
3184,25.0,mudslide,monsoon,2,unknown,IN,223523.0,18.23429,93.8275,24.9336,0.0
3192,10.0,landslide,rain,1,unknown,US,6903.0,0.23715,-82.5186,37.4814,0.0
3198,5.0,landslide,rain,2,unknown,US,8413.0,4.33508,-122.7756,48.9511,0.0
3200,5.0,landslide,downpour,4,unknown,CN,0.0,12.63831,104.8805,27.344,0.0
3211,5.0,landslide,rain,2,unknown,IN,33748.0,22.58609,94.9731,26.4205,0.0
3216,10.0,landslide,rain,2,unknown,PH,32932.0,0.3591,124.5335,7.1904,0.0
3223,12.674393057233878,complex,tropical_cyclone,2,unknown,PH,272714.0,4.9494,120.6101,16.3748,0.0
3238,12.674393057233878,landslide,downpour,2,unknown,US,401.0,67.11064,-109.7873,47.6816,0.0
3261,50.0,landslide,downpour,3,unknown,AF,0.0,2.73125,70.42777802,37.55914605,0.0
3262,12.674393057233878,landslide,continuous_rain,2,unknown,MX,1732.0,4.32007,-92.979,18.1563,0.0
3266,12.674393057233878,mudslide,tropical_cyclone,2,unknown,CN,0.0,5.72875,113.4,23.7,0.0
3271,25.0,landslide,rain,2,unknown,IN,1630.0,7.79832,77.193,31.2077,0.0
3287,5.0,landslide,tropical_cyclone,2,unknown,CN,71066.0,29.95684,109.9679,23.6454,0.0
3291,25.0,landslide,downpour,2,above_road,IN,7317.0,0.1179,75.17707406,33.27140108,0.0
3293,50.0,landslide,rain,2,unknown,ID,88965.0,6.62116,106.742,-6.8255,0.0
3303,10.0,landslide,downpour,2,unknown,CM,290768.0,0.60654,10.416,5.483,0.0
3309,12.674393057233878,landslide,rain,2,unknown,US,2112.0,17.74135,-81.4311,36.2204,0.0
3313,10.0,mudslide,rain,1,unknown,AU,226034.0,1.55589,144.35,-38.1583,0.0
3316,5.0,landslide,rain,1,unknown,NZ,1731.0,26.48182,173.7463,-35.047,0.0
3321,25.0,landslide,downpour,2,unknown,TT,8140.0,10.61854,-61.4578,10.7603,0.0
3323,25.0,landslide,rain,2,unknown,NP,182324.0,2.71056,87.2758,26.4596,0.0
3330,5.0,mudslide,downpour,2,unknown,US,16887.0,2.94432,-107.87,37.25,0.0
3335,5.0,landslide,tropical_cyclone,2,unknown,CN,3640.0,11.378,119.2801,26.7636,0.0
3339,5.0,landslide,tropical_cyclone,2,unknown,TW,7871900.0,9.07195,121.4833,25.1167,0.0
3341,5.0,landslide,rain,3,unknown,ID,493698.0,10.44548,107.474,-6.9373,0.0
3351,12.674393057233878,landslide,rain,2,unknown,NP,0.0,38.25954,86.37,27.09,0.0
3354,5.0,landslide,rain,2,unknown,US,1745.0,0.94084,-83.316,36.8502,0.0
3358,5.0,landslide,downpour,2,unknown,TJ,26000.0,0.31668,71.611,36.727,0.0
3373,50.0,landslide,rain,1,above_road,US,2085.0,8.43158,-87.23175652,39.88211093,0.0
3374,25.0,landslide,downpour,2,unknown,US,4688.0,51.54051,-113.7188,48.7195,0.0
3379,12.674393057233878,landslide,rain,4,unknown,VN,55981.0,9.07452,106.6741,21.8411,0.0
3381,1.0,landslide,downpour,2,urban,IN,20244.0,8.59507,92.7141905,23.74182634,0.0
3386,1.0,mudslide,downpour,1,unknown,US,19653.0,1.67649,-118.2208,34.2413,0.0
3391,5.0,landslide,downpour,2,above_road,GB,21897.0,0.17652,-0.931903558,53.30801118,0.0
3395,12.674393057233878,landslide,unknown,2,unknown,BD,39335.0,14.65105,91.5327,22.894,0.0
3396,12.674393057233878,landslide,unknown,2,unknown,AZ,10612.0,16.21153,47.56,40.31,0.0
3402,25.0,landslide,rain,2,unknown,IN,7317.0,0.8301,75.247,33.245,0.0
3406,50.0,landslide,downpour,2,unknown,TR,4705.0,8.7124,30.458,40.69,0.0
3407,12.674393057233878,landslide,unknown,2,above_road,US,9477.0,2.50342,-123.7999,46.1936,0.0
3413,10.0,landslide,tropical_cyclone,2,unknown,PH,2920.0,11.93545,124.1754,13.8193,0.0
3421,10.0,mudslide,downpour,1,unknown,CA,3907.0,79.77706,-119.22,53.03,0.0
3424,5.0,mudslide,downpour,2,unknown,US,10780.0,2.92601,-91.3955,40.3722,0.0
3431,10.0,landslide,rain,2,unknown,US,69516.0,6.97907,-121.9451,37.6178,0.0
3447,1.0,landslide,downpour,2,unknown,BR,17308.0,5.28651,-43.6897,-22.5527,0.0
3448,25.0,landslide,continuous_rain,2,unknown,IN,29499.0,5.21085,94.5163,26.0137,0.0
3449,5.0,landslide,rain,2,unknown,ES,2317.0,1.55252,-2.0371,37.356,0.0
3456,25.0,landslide,rain,2,unknown,PH,2428.0,2.91827,121.045,16.95,0.0
3464,5.0,mudslide,rain,2,unknown,US,2567.0,3.60376,-155.8801,19.4272,0.0
3469,25.0,complex,downpour,2,unknown,NP,31381.0,3.21858,81.601,28.601,0.0
3471,12.674393057233878,landslide,unknown,2,deforested_slope,KG,0.0,27.00742,73.07114867,41.08647095,0.0
3475,5.0,landslide,rain,1,below_road,US,9477.0,0.9705,-123.8203,46.1836,0.0
3488,50.0,landslide,downpour,2,unknown,ID,0.0,6.70539,120.280149,-8.773461589,0.0
3490,5.0,landslide,downpour,2,unknown,NP,44632.0,13.30452,85.2254,27.5684,0.0
3495,10.0,landslide,downpour,2,unknown,US,2072.0,9.9518,-75.3733,43.3982,0.0
3501,25.0,landslide,rain,3,unknown,KE,63426.0,0.27391,34.75,0.2833,0.0
3506,25.0,mudslide,downpour,2,unknown,US,2450.0,19.55437,-105.3546,40.6875,0.0
3519,12.674393057233878,landslide,downpour,2,unknown,ID,0.0,1.45941,96.0444,5.2519,0.0
3523,10.0,complex,tropical_cyclone,2,unknown,JM,2382.0,1.71217,-76.333,17.948,0.0
3530,10.0,landslide,downpour,2,unknown,US,20078.0,10.54122,-122.6123,42.1331,0.0
3531,25.0,landslide,rain,2,unknown,US,872.0,6.68251,-82.6957,35.8568,0.0
3539,1.0,landslide,downpour,2,unknown,CN,0.0,42.80947,104.5178,25.9548,0.0
3546,25.0,landslide,unknown,2,unknown,IR,202796.0,24.64437,52.8557,36.3812,0.0
3557,25.0,landslide,rain,2,unknown,TT,0.0,7.33295,-60.6312,11.2965,0.0
3584,25.0,landslide,rain,2,unknown,MM,48629.0,35.98906,97.938,16.624,0.0
3586,25.0,landslide,rain,1,unknown,GB,19463.0,1.21963,-0.4367,51.3681,0.0
3594,10.0,landslide,downpour,3,unknown,IN,6468.0,9.44301,75.452,13.986,0.0
3597,50.0,landslide,rain,2,unknown,NP,23693.0,6.24405,83.4833,27.8667,0.0
3620,25.0,mudslide,tropical_cyclone,2,unknown,CN,0.0,1.88251,105.7051,30.7635,0.0
3639,5.0,complex,tropical_cyclone,2,unknown,PH,0.0,10.5213,120.9167,16.0667,0.0
3642,10.0,landslide,continuous_rain,2,above_road,IN,8797.0,50.42405,94.4759,24.9111,0.0
3643,50.0,complex,rain,2,unknown,VN,197000.0,26.57516,108.2058,11.8861,0.0
3652,50.0,landslide,downpour,2,unknown,VN,0.0,35.30636,107.4326,12.1639,0.0
3658,1.0,landslide,downpour,2,unknown,IN,25581.0,26.39832,95.2253,27.8458,0.0
3670,5.0,landslide,downpour,2,above_road,IN,975857.0,3.24684,75.21320384,33.33280503,0.0
3671,1.0,landslide,rain,2,unknown,LA,13500.0,14.15117,101.8343,19.3074,0.0
3690,1.0,landslide,rain,2,unknown,MY,80574.0,7.49907,101.7777,2.9346,0.0
3691,10.0,landslide,rain,2,urban,PT,40604.0,0.94026,-8.2594,41.4497,0.0
3702,1.0,landslide,rain,2,unknown,MY,1453975.0,6.84189,101.7444,3.1623,0.0
3703,10.0,mudslide,rain,2,unknown,US,2031.0,5.76576,-82.3746,35.4462,0.0
3723,1.0,landslide,rain,2,unknown,CA,1706.0,68.59272,-116.8792,50.0804,0.0
3727,5.0,landslide,continuous_rain,2,above_road,NP,107157.0,28.90701,84.69570744,27.80766085,0.0
3728,25.0,landslide,rain,2,unknown,LK,22179.0,18.94494,80.4119,6.1454,0.0
3729,5.0,landslide,unknown,2,unknown,US,1737.0,0.29236,-123.204,46.103,0.0
3731,50.0,landslide,rain,3,unknown,BR,19292.0,7.32023,-40.949,-19.5378,0.0
3741,10.0,mudslide,downpour,2,unknown,IT,16800.0,0.69817,7.6639,44.6467,0.0
3755,5.0,mudslide,rain,2,unknown,GB,1217.0,49.04189,-2.0885,60.1346,0.0
3772,10.0,complex,downpour,1,unknown,US,20292.0,3.32897,-116.833,33.047,0.0
3773,1.0,landslide,downpour,2,unknown,PH,2803.0,0.13748,120.8209,16.9945,0.0
3785,10.0,debris_flow,downpour,2,natural_slope,TH,0.0,30.25295,99.8832,8.9607,0.0
3786,50.0,landslide,downpour,2,unknown,ID,0.0,34.47722,120.925,1.3314,0.0
3790,10.0,landslide,downpour,3,unknown,KE,21234.0,0.94637,36.8304,-1.1747,0.0
3793,5.0,landslide,rain,2,unknown,US,4407.0,4.02153,-84.5319,39.1267,0.0
3795,5.0,landslide,downpour,2,above_road,IN,417387.0,3.98374,74.88548779,12.89163444,0.0
3815,25.0,landslide,rain,2,unknown,NZ,7485.0,11.96502,172.9486,-41.0387,0.0
3816,5.0,complex,rain,2,unknown,CA,1385.0,12.24383,-123.2317,49.5622,0.0
3830,5.0,landslide,rain,2,unknown,GB,6171.0,1.92211,0.4864,50.9001,0.0
3833,1.0,landslide,downpour,2,unknown,GE,0.0,3.42915,41.958,41.5687,0.0
3835,5.0,landslide,rain,1,unknown,US,175396.0,5.66936,-97.0317,32.7883,0.0
3869,50.0,complex,downpour,2,unknown,ID,0.0,19.50614,104.448,-5.5208,0.0
3880,1.0,landslide,downpour,1,urban,IN,173503.0,0.58675,77.17798485,31.10587659,0.0
3890,10.0,landslide,downpour,2,unknown,BR,147281.0,10.81048,-43.4438,-22.9011,0.0
3894,5.0,landslide,rain,2,unknown,CA,44560.0,1.48553,-123.1357,49.2966,0.0
3903,10.0,landslide,rain,2,unknown,ES,1026.0,4.28556,-1.2144,41.8741,0.0
3916,1.0,landslide,rain,2,unknown,GB,1595.0,2.74218,-2.4971,52.6514,0.0
3918,25.0,landslide,continuous_rain,2,unknown,PK,0.0,29.03595,74.0453,35.1544,0.0
3925,10.0,complex,rain,2,unknown,TH,14797.0,1.44787,98.3071,7.8882,0.0
3937,25.0,landslide,rain,2,unknown,ID,746716.0,0.89854,112.6278,-7.972,0.0
3938,10.0,landslide,rain,2,unknown,ID,0.0,29.07721,98.1938,2.9832,0.0
3944,5.0,debris_flow,rain,2,unknown,US,9277.0,14.4377,-116.9135,33.3,0.0
3949,10.0,landslide,tropical_cyclone,2,unknown,PH,0.0,4.31478,120.6202,16.6066,0.0
3952,1.0,mudslide,downpour,2,unknown,ZA,15000.0,17.28931,30.8331,-29.7826,0.0
3956,10.0,landslide,downpour,2,unknown,NP,21867.0,11.80012,83.6695,28.0458,0.0
3958,5.0,landslide,rain,2,unknown,PH,1212504.0,6.41755,125.5583,7.0932,0.0
3966,50.0,landslide,rain,2,unknown,IN,17516.0,3.52578,91.7138,26.1662,0.0
3973,5.0,landslide,rain,2,unknown,US,1728.0,1.09139,-79.8965,40.1833,0.0
3976,12.674393057233878,landslide,continuous_rain,2,unknown,IN,29499.0,14.31476,94.5234,25.8376,0.0
3981,25.0,landslide,downpour,1,unknown,PH,2891.0,4.48514,126.270676,7.92237225,0.0
3984,12.674393057233878,landslide,continuous_rain,2,unknown,IN,29499.0,10.5572,94.4619,26.0481,0.0
3985,5.0,landslide,rain,3,unknown,BD,33200.0,14.59203,91.6591,22.6205,0.0
3997,25.0,landslide,unknown,2,unknown,NP,21867.0,33.15201,83.9072,27.7115,0.0
3998,25.0,landslide,rain,2,unknown,IN,7317.0,1.36072,75.2257,33.2451,0.0
4001,25.0,landslide,downpour,3,unknown,LC,1906.0,3.81469,-60.9268,13.8891,0.0
4022,5.0,mudslide,downpour,2,unknown,TH,10048.0,11.07873,99.2357,18.5061,0.0
4023,5.0,landslide,rain,2,unknown,TT,0.0,7.47816,-60.5841,11.3176,0.0
4031,25.0,landslide,rain,3,unknown,US,620.0,20.45203,-84.0317,35.3368,0.0
4032,10.0,complex,downpour,2,above_road,CN,0.0,15.05984,103.4928695,31.07383383,0.0
4046,5.0,complex,rain,1,unknown,US,4407.0,26.4588,-121.8076,36.27,0.0
4048,5.0,landslide,downpour,2,unknown,CG,1284609.0,2.19783,15.266,-4.276,0.0
4049,5.0,mudslide,downpour,1,unknown,US,1406.0,1.58679,-114.371,43.7,0.0
4052,50.0,complex,downpour,2,unknown,GH,56202.0,9.78474,0.3927,7.1878,0.0
4054,12.674393057233878,landslide,tropical_cyclone,2,unknown,PH,7491.0,4.10721,120.678,16.4244,0.0
4067,5.0,mudslide,downpour,2,unknown,US,3485.0,26.97874,-88.3108,32.804,0.0
4072,1.0,landslide,rain,1,unknown,US,608660.0,7.64179,-122.416,47.645,0.0
4076,10.0,landslide,rain,2,unknown,PH,3069.0,0.53596,125.4606,11.7548,0.0
4079,5.0,mudslide,unknown,2,unknown,AU,2352.0,7.20604,145.6333,-42.05,0.0
4083,5.0,mudslide,rain,1,unknown,US,34457.0,3.31974,-74.27,40.78,0.0
4089,1.0,landslide,downpour,2,unknown,US,20979.0,1.24635,-85.2634,35.0203,0.0
4093,10.0,complex,freeze_thaw,2,unknown,US,1144.0,16.62882,-122.0698,45.5887,0.0
4105,10.0,landslide,downpour,2,unknown,ID,79230.0,2.83098,112.7145,-7.3683,0.0
4129,12.674393057233878,complex,rain,2,unknown,TH,38538.0,2.30528,100.1589,18.1578,0.0
4153,5.0,landslide,rain,2,unknown,US,4561.0,26.37635,-123.679,44.0302,0.0
4164,10.0,landslide,rain,2,unknown,VN,0.0,14.33902,108.133,16.2,0.0
4167,10.0,landslide,rain,2,unknown,BR,8201.0,16.56792,-40.8424,-19.6528,0.0
4170,5.0,mudslide,downpour,2,unknown,CA,2732.0,0.63479,-118.9805,50.8378,0.0
4173,5.0,landslide,downpour,2,unknown,NP,0.0,40.81788,86.5,27.3172,0.0
4176,5.0,debris_flow,downpour,2,unknown,US,1247.0,21.80213,-111.1921,39.5828,0.0
4179,12.674393057233878,landslide,monsoon,2,unknown,PK,0.0,19.95161,73.9015,35.4825,0.0
4184,5.0,landslide,rain,2,unknown,ID,0.0,6.06241,107.0222,-6.9563,0.0
4211,10.0,complex,rain,3,unknown,PH,3408.0,2.62743,124.033,12.75,0.0
4212,5.0,landslide,rain,2,unknown,US,3260.0,2.08818,-79.7383,40.6268,0.0
4213,50.0,landslide,downpour,2,unknown,IN,13865.0,0.6405,79.56,30.557,0.0
4226,50.0,landslide,downpour,2,unknown,BR,6902.0,32.99747,-42.3753,-18.7913,0.0
4228,50.0,landslide,continuous_rain,2,unknown,NP,17491.0,0.96795,87.919,26.9122,0.0
4233,5.0,landslide,monsoon,2,unknown,IN,34021.0,16.2695,94.5497,26.1807,0.0
4237,5.0,mudslide,downpour,2,unknown,TH,0.0,9.26407,101.1186,12.8414,0.0
4242,50.0,landslide,downpour,2,unknown,PH,5682.0,22.56345,121.7536,16.0769,0.0
4245,25.0,landslide,rain,2,unknown,IN,30700.0,16.04466,88.7648,27.3746,0.0
4247,5.0,landslide,rain,1,unknown,US,8466.0,21.45985,-123.8405,44.0302,0.0
4254,10.0,landslide,downpour,2,unknown,IN,62836.0,1.43277,75.361,11.855,0.0
4258,25.0,mudslide,rain,2,unknown,IN,80447.0,3.503,75.1533,32.9522,0.0
4278,25.0,mudslide,rain,2,unknown,CN,0.0,5.27114,102.4839,35.1649,0.0
4282,25.0,mudslide,tropical_cyclone,3,unknown,TW,0.0,13.0254,120.5742,23.4575,0.0
4284,5.0,landslide,rain,2,unknown,US,42409.0,0.03668,-97.2688,32.7995,0.0
4290,5.0,landslide,rain,2,unknown,MY,1453975.0,3.02853,101.6593,3.142,0.0
4294,10.0,landslide,rain,2,unknown,IN,8341.0,11.34343,77.2234,32.351,0.0
4296,12.674393057233878,mudslide,downpour,2,unknown,CH,1577.0,3.06496,8.98,45.97,0.0
4316,10.0,landslide,rain,2,unknown,GR,5894.0,0.00366,21.65,37.4833,0.0
4319,25.0,landslide,unknown,2,above_road,NP,107157.0,20.19883,84.5512,27.8324,0.0
4320,5.0,landslide,rain,2,unknown,CN,150684.0,4.16201,111.9933,27.6969,0.0
4324,50.0,mudslide,downpour,2,unknown,GB,1617.0,5.54168,-1.6613,53.3799,0.0
4333,10.0,landslide,rain,2,below_road,US,2685.0,3.4666,-123.7131,46.8856,0.0
4334,25.0,landslide,monsoon,2,unknown,ID,0.0,8.59191,105.2198,-4.5419,0.0
4336,5.0,landslide,rain,2,unknown,GB,8608.0,3.82439,-4.2136,51.1184,0.0
4338,1.0,landslide,downpour,2,unknown,JM,2321.0,4.13454,-76.2914,18.0761,0.0
4339,5.0,landslide,monsoon,2,unknown,LK,111701.0,19.41723,80.6121,7.4695,0.0
4342,10.0,mudslide,downpour,2,unknown,RU,4020.0,14.58717,40.0443,43.618,0.0
4344,25.0,landslide,unknown,2,unknown,CN,148485.0,0.36913,110.15,22.63,0.0
4359,10.0,landslide,unknown,1,above_road,US,3532.0,45.41327,-124.5245511,48.34812216,0.0
4364,12.674393057233878,landslide,tropical_cyclone,2,unknown,GT,2006.0,13.39817,-90.0853,15.6046,0.0
4369,12.674393057233878,landslide,downpour,2,unknown,CN,4184206.0,5.7017,114.3093,30.5475,0.0
4375,5.0,landslide,downpour,2,unknown,IN,33408.0,4.02155,76.8081,9.7268,0.0
4394,1.0,landslide,rain,1,unknown,US,42808.0,8.13382,-117.207,32.8008,0.0
4395,10.0,landslide,downpour,2,unknown,CN,0.0,65.47485,95.9761,29.2409,0.0
4399,1.0,landslide,rain,3,above_river,CA,151683.0,11.24896,-122.3236,49.1461,0.0
4415,5.0,landslide,rain,2,above_road,IN,3596.0,4.44389,88.42280921,26.99195749,0.0
4432,5.0,landslide,downpour,2,unknown,ID,0.0,5.85494,118.9062,-3.0287,0.0
4445,12.674393057233878,landslide,continuous_rain,2,unknown,IN,17123.0,18.4002,78.48,30.8928,0.0
4453,12.674393057233878,landslide,downpour,2,unknown,PH,10055.0,7.52357,126.34,8.44,0.0
4457,5.0,landslide,rain,2,unknown,US,178874.0,5.53703,-83.9572,35.9205,0.0
4464,10.0,mudslide,rain,2,unknown,TH,0.0,18.8488,98.2559,8.5695,0.0
4466,25.0,complex,tropical_cyclone,2,unknown,DO,13977.0,0.75284,-69.3822,19.056,0.0
